0;0;922;55
1;0;922;55
2;0;869;57
3;0;821;57
4;0;769;59
5;0;717;60
6;0;665;55
7;0;615;52
8;0;550;56
9;0;479;58
10;0;392;66
11;0;308;95
12;0;239;155
13;0;205;226
14;0;185;307
15;1;909;109
16;1;1107;377
17;1;914;643
18;2;818;163
19;2;949;166
20;2;1008;258
21;2;831;588
22;2;953;585
23;2;1005;497
24;3;1027;421
25;3;973;439
26;3;929;451
27;3;877;468
28;3;828;487
29;3;779;502
30;3;732;519
31;3;699;550
32;3;668;574
33;3;623;597
34;3;575;616
35;3;518;628
36;3;464;629
37;3;413;627
38;3;367;606
39;3;325;582
40;3;283;554
41;3;240;513
42;3;207;473
43;3;193;429
44;3;183;374
45;4;1056;376
46;4;1004;375
47;4;951;375
48;4;900;378
49;4;847;379
50;4;798;379
51;4;745;381
52;4;692;386
53;4;629;412
54;4;589;451
55;4;534;475
56;4;496;483
57;4;449;478
58;4;403;485
59;4;352;485
60;4;314;467
61;5;814;430
62;5;766;440
63;5;707;458
64;5;647;497
65;5;601;526
66;5;556;535
67;5;512;546
68;5;467;566
69;5;413;569
70;5;381;546
71;5;328;522
72;5;303;507
73;6;463;545
74;6;417;528
75;6;262;377
76;6;242;346
77;6;221;318
78;7;1026;339
79;7;974;316
80;7;923;298
81;7;878;279
82;7;834;260
83;7;781;244
84;7;734;227
85;7;676;214
86;7;623;207
87;7;568;218
88;7;521;251
89;7;494;296
90;7;470;335
91;7;425;377
92;7;381;398
93;7;338;411
94;7;301;427
95;7;255;444
98;8;813;323
98;8;763;313
99;8;716;297
100;8;650;294
101;8;597;312
102;8;567;344
103;8;524;387
104;8;479;423
105;8;443;423
106;8;405;435
107;8;357;449
108;8;259;471
109;9;362;308
110;9;358;262
111;9;360;219
112;9;362;175
113;9;362;130
114;0;0;0
115;0;0;0
116;0;0;0
